fastq,expected_md5_checksum,actual_md5_checksum,md5_matches
CRR710856_f1.fq.gz,ff547f882ff125ca22596f959f147a9e,ff547f882ff125ca22596f959f147a9e,True
CRR710856_r2.fq.gz,87243bb9880575aa68c4eaf8d047edaf,87243bb9880575aa68c4eaf8d047edaf,True
CRR710857_f1.fq.gz,6790de2f95b72a0ec587d072602ffe7b,6790de2f95b72a0ec587d072602ffe7b,True
CRR710857_r2.fq.gz,231a122b45746a0061ec50d69360780a,231a122b45746a0061ec50d69360780a,True
CRR710858_f1.fq.gz,6692fab9d3709e44f2de2092e7b74a71,6692fab9d3709e44f2de2092e7b74a71,True
CRR710858_r2.fq.gz,ca4e3f5f19428d08c0cc6fc449dbfa45,ca4e3f5f19428d08c0cc6fc449dbfa45,True
CRR710859_f1.fq.gz,231ff83a21be3844b2a107a7a80ba86b,231ff83a21be3844b2a107a7a80ba86b,True
CRR710859_r2.fq.gz,c32b916fbedf3afe3bd0cc22642a54a4,c32b916fbedf3afe3bd0cc22642a54a4,True
CRR710860_f1.fq.gz,c60b70342a366f0cdbcd0abbe50be41a,c60b70342a366f0cdbcd0abbe50be41a,True
CRR710860_r2.fq.gz,c549c08d57f4ec6294a3147d4d15be48,c549c08d57f4ec6294a3147d4d15be48,True
CRR710861_f1.fq.gz,33c56b5e14d3f95231a3d4ab12c2bbc8,33c56b5e14d3f95231a3d4ab12c2bbc8,True
CRR710861_r2.fq.gz,9057f73b41578deaf39e18c6b532d9b8,9057f73b41578deaf39e18c6b532d9b8,True
CRR710862_f1.fq.gz,84f864572e48b2f10a8e64e1075dca2f,84f864572e48b2f10a8e64e1075dca2f,True
CRR710862_r2.fq.gz,267ec50c89f79c7487986813a0999900,267ec50c89f79c7487986813a0999900,True
CRR710863_f1.fq.gz,df0aa17bf1132003d1bc0007b2dfd303,df0aa17bf1132003d1bc0007b2dfd303,True
CRR710863_r2.fq.gz,08fbb1dd0ca041d8014f3b372450bd63,08fbb1dd0ca041d8014f3b372450bd63,True
CRR710864_f1.fq.gz,6cfd3926a23c3391b7d62d9883791ae2,6cfd3926a23c3391b7d62d9883791ae2,True
